USER_ID,PRODUCT_ID,SCORE,TIMESTAMP
A1WLKYWH2MMN4H,B00KYRRA7A,5.0,1404864000
A2GKXSO0S6CT3N,B00KYRRA7A,5.0,1405382400
A83EDJIGSMVA4,B00KYRRA7A,5.0,1405382400
A2VW28V4IDEKKU,B00KYRRA7A,5.0,1404345600
A2JHBALXCY9KMX,B00KYRRA7A,5.0,1404691200
A39CCN82ACHBBP,B00KYRRA7A,1.0,1405468800
A2JLPCOXBO8WKY,B00KYSSR7G,5.0,1404691200
A2JLPCOXBO8WKY,B00KYTC4CY,5.0,1404691200
A348YA72OB7A8U,B00KYTC4CY,4.0,1404259200
A15JC246UXZV5Y,B00KYTNU9U,5.0,1405209600
A30MO6HO5L0CWJ,B00KYTNU9U,4.0,1404691200
A2OP6YF6W3I2YQ,B00KYTNU9U,5.0,1405036800
A2HVCECQ0WO0N1,B00KYTNU9U,2.0,1404777600
A2JLPCOXBO8WKY,B00KYTY0PI,5.0,1404691200
A2JLPCOXBO8WKY,B00KYTZ70K,5.0,1404691200
A2JLPCOXBO8WKY,B00KYUD8GE,5.0,1404691200
ACQBONJTKYZF9,B00KYWCBHY,5.0,1404864000
A3ML017RGCPF23,B00KYWCBHY,5.0,1404864000
A3PMWDEX8LVC4R,B00KYWCBHY,5.0,1404777600
A3AAXTYH4CO9CY,B00KYY3KR2,4.0,1405296000
ALDMONSV4E3XX,B00KYY3KR2,4.0,1405814400
A164PEWXM39C1T,B00KYY3KR2,3.0,1403913600
A3FAA3WC9NGDM7,B00KYY3KR2,5.0,1406073600
AMRASYY7J687R,B00KZ074RC,5.0,1403827200
A1PCC5P6M6L78L,B00KZ0GKVS,3.0,1405728000
AQYPDAQUOFPK2,B00KZ0GKVS,5.0,1405382400
A3BMRPGPFLYRTA,B00KZ0GKVS,5.0,1405555200
A2HYPCMBRL2TB6,B00KZ1CG6U,5.0,1402704000
A9SNL6BMS5RHZ,B00KZ1CG6U,5.0,1402704000
A3E4U0THO1HUAY,B00KZ2NDYI,1.0,1403049600
A3IM24ONV01IP3,B00KZ369ZM,5.0,1403568000
A2K74O200VAHDO,B00KZ3M2QC,4.0,1404518400
A37G90KBW3CZXT,B00KZ3QWQS,5.0,1404864000
A22M6EKNL0BVKN,B00KZ3QWQS,5.0,1405296000
AEGX7KW40KRV,B00KZ3QWQS,5.0,1405382400
A1KVQ1YDA5QU0L,B00KZ3QWQS,5.0,1405296000
A17G63ZYEAFRSB,B00KZ3QWQS,4.0,1405382400
A3FVTRE58NNX8F,B00KZ3QWQS,5.0,1404172800
A1ZCA7C8OVIK3I,B00KZ3RKG4,1.0,1405036800
A1PKHDNRKSZVHB,B00KZ3RKG4,5.0,1404777600
A2NZDD2BY8ZNUK,B00KZ3RKG4,5.0,1405036800
A3IR9FNMTNERTE,B00KZ3RKG4,5.0,1405123200
A3CUAHCSM391WE,B00KZ3RKG4,5.0,1405555200
A1KHX0XYP6HGYJ,B00KZ3RKG4,5.0,1404864000
A15CA4CTB7LW60,B00KZ3RKG4,5.0,1405382400
A2AXGYQ69YSS63,B00KZ3RKG4,2.0,1404777600
ASGJFOSR0FIS3,B00KZ3S49Q,5.0,1405641600
A1H0YMGJPQHHUE,B00KZ3S49Q,5.0,1404172800
AFPELN9NVXLSG,B00KZ3S49Q,5.0,1405296000
A3FGLSB4B5BAL1,B00KZ3S49Q,5.0,1405296000
A1HMIXAS7TXDNA,B00KZ3S49Q,5.0,1405900800
A2ZEV9DYN0E63D,B00KZ3S49Q,5.0,1405209600
ARDAAPJ09PP1G,B00KZ3S49Q,5.0,1405296000
A12GS93I3PLYUT,B00KZ3S49Q,5.0,1405900800
APNFDGIP51OW8,B00KZ3S49Q,5.0,1405296000
AE96BZUI98Z2J,B00KZ3S49Q,1.0,1405209600
A1CUGPBLN8FRM,B00KZ40HT0,1.0,1405382400
A1YG3ELTRKDS1X,B00KZ40HT0,5.0,1405036800
A32JKCCCJAUFMD,B00KZ849JA,5.0,1405987200
A3DUHUV791E3I1,B00KZ849JA,5.0,1403913600
A14ERMA71MVN0F,B00KZ849JA,2.0,1404777600
A35D2BWUK2XF77,B00KZ849JA,5.0,1404691200
A4QM02EG2X6U6,B00KZBBMIS,1.0,1404345600
A2ZEV9DYN0E63D,B00KZCUCCY,3.0,1404432000
A2UWCE1ZDMUYI6,B00KZCUCCY,1.0,1404259200
AN4IR5LM8FY7R,B00KZCUCCY,5.0,1404432000
A1Z6Z1PZNPQRWC,B00KZGMMPA,1.0,1403222400
A2FJEW1A5AU7TK,B00KZHP102,4.0,1404604800
A1NSRYL5JH2YOO,B00KZHP102,1.0,1404345600
A3HBJDFKDIXX08,B00KZHP102,5.0,1404950400
A12FOD1FMWSXOR,B00KZHP102,1.0,1404432000
AVOJJVIAOW54C,B00KZHP102,1.0,1403568000
A1SCCFKE0NFQRI,B00KZHP102,2.0,1404691200
A22THYA3SYG0EK,B00KZIZRIM,1.0,1405036800
AHNDC8QZYKFV,B00KZIZRIM,1.0,1405036800
AIS7CWZAQMN7J,B00KZJD1MU,5.0,1404345600
A1P032BL9X4K5V,B00KZM6V4M,5.0,1403740800
A15YPIQNVPZGZO,B00KZNKRA0,3.0,1404691200
